title,vote_average,popularity,genres_clean
Avatar,7.2,150.437577,"['action', 'adventure', 'fantasy', 'sciencefiction']"
Pirates of the Caribbean: At World's End,6.9,139.082615,"['adventure', 'fantasy', 'action']"
Spectre,6.3,107.376788,"['action', 'adventure', 'crime']"
The Dark Knight Rises,7.6,112.31295,"['action', 'crime', 'drama', 'thriller']"
John Carter,6.1,43.926995,"['action', 'adventure', 'sciencefiction']"
Spider-Man 3,5.9,115.699814,"['fantasy', 'action', 'adventure']"
Tangled,7.4,48.681969,"['animation', 'family']"
Avengers: Age of Ultron,7.3,134.279229,"['action', 'adventure', 'sciencefiction']"
Harry Potter and the Half-Blood Prince,7.4,98.885637,"['adventure', 'fantasy', 'family']"
Batman v Superman: Dawn of Justice,5.7,155.790452,"['action', 'adventure', 'fantasy']"
Superman Returns,5.4,57.925623,"['adventure', 'fantasy', 'action', 'sciencefiction']"
Quantum of Solace,6.1,107.928811,"['adventure', 'action', 'thriller', 'crime']"
Pirates of the Caribbean: Dead Man's Chest,7.0,145.847379,"['adventure', 'fantasy', 'action']"
The Lone Ranger,5.9,49.046956,"['action', 'adventure', 'western']"
Man of Steel,6.5,99.398009,"['action', 'adventure', 'fantasy', 'sciencefiction']"
The Chronicles of Narnia: Prince Caspian,6.3,53.978602,"['adventure', 'family', 'fantasy']"
The Avengers,7.4,144.448633,"['sciencefiction', 'action', 'adventure']"
Pirates of the Caribbean: On Stranger Tides,6.4,135.413856,"['adventure', 'action', 'fantasy']"
Men in Black 3,6.2,52.035179,"['action', 'comedy', 'sciencefiction']"
The Hobbit: The Battle of the Five Armies,7.1,120.965743,"['action', 'adventure', 'fantasy']"
The Amazing Spider-Man,6.5,89.866276,"['action', 'adventure', 'fantasy']"
Robin Hood,6.2,37.668301,"['action', 'adventure']"
The Hobbit: The Desolation of Smaug,7.6,94.370564,"['adventure', 'fantasy']"
The Golden Compass,5.8,42.990906,"['adventure', 'fantasy']"
King Kong,6.6,61.22601,"['adventure', 'drama', 'action']"
Titanic,7.5,100.025899,"['drama', 'romance', 'thriller']"
Captain America: Civil War,7.1,198.372395,"['adventure', 'action', 'sciencefiction']"
Battleship,5.5,64.928382,"['thriller', 'action', 'adventure', 'sciencefiction']"
Jurassic World,6.5,418.708552,"['action', 'adventure', 'sciencefiction', 'thriller']"
Skyfall,6.9,93.004993,"['action', 'adventure', 'thriller']"
Spider-Man 2,6.7,35.149586,"['action', 'adventure', 'fantasy']"
Iron Man 3,6.8,77.68208,"['action', 'adventure', 'sciencefiction']"
Alice in Wonderland,6.4,78.530105,"['family', 'fantasy', 'adventure']"
X-Men: The Last Stand,6.3,3.857526,"['adventure', 'action', 'sciencefiction', 'thriller']"
Monsters University,7.0,89.186492,"['animation', 'family']"
Transformers: Revenge of the Fallen,6.0,21.939663,"['sciencefiction', 'action', 'adventure']"
Transformers: Age of Extinction,5.8,116.840296,"['sciencefiction', 'action', 'adventure']"
Oz: The Great and Powerful,5.7,46.985445,"['fantasy', 'adventure', 'family']"
The Amazing Spider-Man 2,6.5,89.270217,"['action', 'adventure', 'fantasy']"
TRON: Legacy,6.3,73.79505,"['adventure', 'action', 'sciencefiction']"
Cars 2,5.8,49.98659,"['animation', 'family', 'adventure', 'comedy']"
Green Lantern,5.1,51.872839,"['adventure', 'action', 'thriller', 'sciencefiction']"
Toy Story 3,7.6,59.995418,"['animation', 'family', 'comedy']"
Terminator Salvation,5.9,71.862892,"['action', 'sciencefiction', 'thriller']"
Furious 7,7.3,102.322217,['action']
World War Z,6.7,81.834855,"['action', 'drama', 'horror', 'sciencefiction', 'thriller']"
X-Men: Days of Future Past,7.5,118.078691,"['action', 'adventure', 'fantasy', 'sciencefiction']"
Star Trek Into Darkness,7.4,78.291018,"['action', 'adventure', 'sciencefiction']"
Jack the Giant Slayer,5.5,43.349855,"['action', 'family', 'fantasy']"
The Great Gatsby,7.3,61.196071,"['drama', 'romance']"
Prince of Persia: The Sands of Time,6.2,62.169881,"['adventure', 'fantasy', 'action', 'romance']"
Pacific Rim,6.7,56.523205,"['action', 'sciencefiction', 'adventure']"
Transformers: Dark of the Moon,6.1,28.529607,"['action', 'sciencefiction', 'adventure']"
Indiana Jones and the Kingdom of the Crystal Skull,5.7,75.674458,"['adventure', 'action']"
The Good Dinosaur,6.6,51.692953,"['adventure', 'animation', 'family']"
Brave,6.7,125.114374,"['animation', 'adventure', 'comedy', 'family', 'action', 'fantasy']"
Star Trek Beyond,6.6,65.352913,"['action', 'adventure', 'sciencefiction']"
WALL·E,7.8,66.390712,"['animation', 'family']"
Rush Hour 3,6.1,22.57178,"['action', 'comedy', 'crime', 'thriller']"
2012,5.6,45.274225,"['action', 'adventure', 'sciencefiction']"
A Christmas Carol,6.6,39.744242,"['animation', 'drama']"
Jupiter Ascending,5.2,85.36908,"['sciencefiction', 'fantasy', 'action', 'adventure']"
The Legend of Tarzan,5.5,42.741719,"['action', 'adventure']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,67.391328,"['adventure', 'family', 'fantasy']"
X-Men: Apocalypse,6.4,139.272042,['sciencefiction']
The Dark Knight,8.2,187.322927,"['drama', 'action', 'crime', 'thriller']"
Up,7.7,92.201962,"['animation', 'comedy', 'family', 'adventure']"
Monsters vs Aliens,6.0,36.167578,"['animation', 'family', 'adventure', 'sciencefiction']"
Iron Man,7.4,120.725053,"['action', 'sciencefiction', 'adventure']"
Hugo,7.0,32.319043,"['adventure', 'drama', 'family']"
Wild Wild West,5.1,40.748915,"['action', 'adventure', 'comedy', 'sciencefiction', 'western']"
The Mummy: Tomb of the Dragon Emperor,5.2,60.034162,"['adventure', 'action', 'fantasy']"
Suicide Squad,5.9,90.23792,"['action', 'adventure', 'crime', 'fantasy', 'sciencefiction']"
Evan Almighty,5.3,27.082182,"['fantasy', 'comedy', 'family']"
Edge of Tomorrow,7.6,79.456485,"['action', 'sciencefiction']"
Waterworld,5.9,44.640292,"['adventure', 'action']"
G.I. Joe: The Rise of Cobra,5.6,32.852443,"['adventure', 'action', 'thriller', 'sciencefiction']"
Inside Out,8.0,128.655964,"['drama', 'comedy', 'animation', 'family']"
The Jungle Book,6.7,94.199316,"['family', 'adventure', 'drama', 'fantasy']"
Iron Man 2,6.6,77.300194,"['adventure', 'action', 'sciencefiction']"
Snow White and the Huntsman,5.8,77.178973,"['adventure', 'fantasy', 'drama']"
Maleficent,7.0,110.620647,"['fantasy', 'adventure', 'action', 'family', 'romance']"
Dawn of the Planet of the Apes,7.3,243.791743,"['sciencefiction', 'action', 'drama', 'thriller']"
